x,y,cluster,trend,value,set,residual
155.0,1.0,0,-440.366416296456,-491.2417,1,-50.87528370354397
156.0,1.0,0,-495.16426807199605,,0,
157.0,1.0,0,-541.1725819024723,,0,
158.0,1.0,0,-574.5978880904149,,0,
159.0,1.0,0,-594.3826125548221,-584.719363,1,9.663249554822073
160.0,1.0,0,-602.1267103448045,,0,
161.0,1.0,0,-599.7981882188469,,0,
162.0,1.0,0,-587.1858838510234,,0,
163.0,1.0,0,-565.1414708842058,-515.243739,1,49.89773188420577
164.0,1.0,0,-536.3138890150003,,0,
165.0,1.0,0,-503.81438176962547,,0,
166.0,1.0,0,-469.81572299962863,,0,
167.0,1.0,0,-436.8645302184159,-389.302605,1,47.561925218415865
168.0,1.0,0,-408.1733262783382,,0,
169.0,1.0,0,-384.9425104856491,,0,
170.0,1.0,0,-369.9900287296623,,0,
171.0,1.0,0,-368.1206306600943,-96.352554,1,271.7680766600943
172.0,1.0,0,-385.90789246419445,,0,
173.0,1.0,0,-413.9300737902522,,0,
174.0,1.0,0,-445.7432221828494,,0,
175.0,1.0,0,-476.5810037915362,-600.402824,1,-123.8218202084638
176.0,1.0,0,-501.07309347740375,,0,
177.0,1.0,0,-520.8107913765125,,0,
178.0,1.0,0,-535.1944587642793,,0,
179.0,1.0,0,-542.5381474848837,-741.947155,1,-199.4090075151163
180.0,1.0,0,-543.1796807232313,,0,
181.0,1.0,0,-536.5704025472514,,0,
182.0,1.0,0,-523.1353724692017,,0,
183.0,1.0,0,-503.6193729438819,-588.105178,1,-84.48580505611812
184.0,1.0,0,-483.43331323517486,,0,
185.0,1.0,0,-467.83546012849547,,0,
186.0,1.0,0,-457.89904821128584,,0,
187.0,1.0,0,-453.1876282542944,-465.661749,1,-12.47412074570559
188.0,1.0,0,-450.4764188963454,,0,
189.0,1.0,0,-446.6026323940605,,0,
190.0,1.0,0,-437.79902347084135,,0,
191.0,1.0,0,-421.22415904467925,-393.093982,1,28.13017704467927
192.0,1.0,0,-399.5024972811807,,0,
193.0,1.0,0,-374.0306494436227,,0,
194.0,1.0,0,-344.95558518660255,,0,
195.0,1.0,0,-312.27092285314575,-352.384509,1,-40.11358614685423
196.0,1.0,0,-277.4486508111004,,0,
197.0,1.0,0,-242.42111438931897,,0,
198.0,1.0,0,-208.30251488089561,,0,
199.0,1.0,0,-176.29750796221197,140.971135,1,317.26864296221197
0.0,2.0,0,529.5696880391333,,0,
1.0,2.0,0,538.3648760269862,,0,
2.0,2.0,0,546.5809149113484,536.032161,1,-10.548753911348399
3.0,2.0,0,550.8859010105953,,0,
4.0,2.0,0,547.2129867342301,,0,
5.0,2.0,0,531.3882707136218,,0,
6.0,2.0,0,499.3710516039282,636.819659,1,137.4486073960718
7.0,2.0,0,445.3048314435873,,0,
8.0,2.0,0,371.8689665310085,,0,
9.0,2.0,0,285.4506699931808,,0,
10.0,2.0,0,191.9945831084624,304.749845,1,112.7552618915376
11.0,2.0,0,97.46683605993167,,0,
12.0,2.0,0,7.869461468188092,,0,
13.0,2.0,0,-70.59379064827226,,0,
14.0,2.0,0,-133.52554094430525,-339.793805,1,-206.26826405569477
15.0,2.0,0,-183.0923361927271,,0,
16.0,2.0,0,-221.93157641333528,,0,
17.0,2.0,0,-251.52046435931697,,0,
18.0,2.0,0,-274.31571523309685,-268.912459,1,5.40325623309684
19.0,2.0,0,-294.70795974414796,,0,
20.0,2.0,0,-316.31227121548727,,0,
21.0,2.0,0,-340.2159706373932,,0,
22.0,2.0,0,-366.3793511695694,-308.543502,1,57.83584916956943
23.0,2.0,0,-393.5532327108085,,0,
24.0,2.0,0,-420.0117199169472,,0,
25.0,2.0,0,-443.49707762128673,,0,
26.0,2.0,0,-462.02154489280656,-479.976245,1,-17.954700107193446
27.0,2.0,0,-473.9126805886626,,0,
28.0,2.0,0,-477.5024637065362,,0,
29.0,2.0,0,-471.45937760337256,,0,
30.0,2.0,0,-455.2815772986505,-489.537949,1,-34.25637170134951
